timestamp,model,prompt,output_file,status
2025-08-06T09:27:43.667166,kimi-k2,prompt_wc_35.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_35.txt,OK
2025-08-06T09:27:47.993437,kimi-k2,prompt_wc_259.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_259.txt,OK
2025-08-06T09:27:48.006168,kimi-k2,prompt_wc_173.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_173.txt,OK
2025-08-06T09:27:50.401127,kimi-k2,prompt_wc_147.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_147.txt,OK
2025-08-06T09:27:50.597723,kimi-k2,prompt_wc_157.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_157.txt,OK
2025-08-06T09:27:50.664611,kimi-k2,prompt_wc_356.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_356.txt,OK
2025-08-06T09:27:50.759874,kimi-k2,prompt_wc_23.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_23.txt,OK
2025-08-06T09:27:50.805281,kimi-k2,prompt_wc_100.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_100.txt,OK
2025-08-06T09:28:05.298159,kimi-k2,prompt_wc_85.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_85.txt,OK
2025-08-06T09:28:05.499054,kimi-k2,prompt_wc_117.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_117.txt,OK
2025-08-06T09:28:06.497270,kimi-k2,prompt_wc_80.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_80.txt,OK
2025-08-06T09:28:10.271367,kimi-k2,prompt_wc_366.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_366.txt,OK
2025-08-06T09:28:10.322863,kimi-k2,prompt_wc_224.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_224.txt,OK
2025-08-06T09:28:12.645930,kimi-k2,prompt_wc_378.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_378.txt,OK
2025-08-06T09:28:13.004034,kimi-k2,prompt_wc_130.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_130.txt,OK
2025-08-06T09:28:26.872198,kimi-k2,prompt_wc_108.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_108.txt,OK
2025-08-06T09:28:51.510130,kimi-k2,prompt_wc_43.txt,/mnt/r/writing2/stories_wc/kimi-k2/story_wc_43.txt,OK
